starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:44:04 2024	1717685044	0	9	9	0
Thu Jun 06 14:44:04 2024	1717685044	24	22	46	22
Thu Jun 06 14:44:04 2024	1717685044	17	35	52	35
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	39	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	40	56	39
Thu Jun 06 14:44:04 2024	1717685044	17	40	56	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	56	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	17	40	57	40
Thu Jun 06 14:44:04 2024	1717685044	33	34	67	34
Thu Jun 06 14:44:04 2024	1717685044	29	39	68	39
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	70	53
Thu Jun 06 14:44:04 2024	1717685044	23	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	23	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	17	53	71	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	71	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	71	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	71	53
Thu Jun 06 14:44:04 2024	1717685044	17	53	71	53
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	53
Thu Jun 06 14:44:04 2024	1717685044	22	48	71	48
Thu Jun 06 14:44:04 2024	1717685044	23	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	22	48	71	48
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	22	48	71	48
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	22	48	71	48
Thu Jun 06 14:44:04 2024	1717685044	22	48	71	48
Thu Jun 06 14:44:04 2024	1717685044	22	48	71	48
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	23	48	71	48
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	23	48	71	48
Thu Jun 06 14:44:04 2024	1717685044	23	48	71	48
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	23	48	71	48
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	23	48	71	48
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	24	47	71	47
Thu Jun 06 14:44:04 2024	1717685044	17	54	71	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	72	54
Thu Jun 06 14:44:04 2024	1717685044	24	47	72	47
Thu Jun 06 14:44:04 2024	1717685044	17	54	72	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	72	54
Thu Jun 06 14:44:04 2024	1717685044	24	47	72	47
Thu Jun 06 14:44:04 2024	1717685044	24	47	72	47
Thu Jun 06 14:44:04 2024	1717685044	17	54	72	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	72	54
Thu Jun 06 14:44:04 2024	1717685044	17	54	72	54
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	54
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	32	40	72	39
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	24	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	24	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	24	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	24	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	24	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	24	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	24	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	24	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	24	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	25	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	25	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	25	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	25	48	72	48
Thu Jun 06 14:44:04 2024	1717685044	17	55	72	55
Thu Jun 06 14:44:04 2024	1717685044	33	39	72	39
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	25	47	73	47
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	17	55	73	55
Thu Jun 06 14:44:04 2024	1717685044	25	47	73	47
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	47
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	25	48	73	48
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	34	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	39	73	39
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	35	38	73	38
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	73	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	56	74	56
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	74	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	75	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	75	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	75	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	75	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	75	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	75	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	75	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	75	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	75	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	75	57
Thu Jun 06 14:44:04 2024	1717685044	17	57	75	57
Thu Jun 06 14:44:04 2024	1717685044	15	62	77	62
Thu Jun 06 14:44:04 2024	1717685044	15	64	79	64
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	32	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	32	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	32	51	82	50
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	53	30	82	30
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	31	51	82	51
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	53	30	82	29
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	53	29	82	29
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	53	29	82	29
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	25	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	17	66	82	66
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	32	50	82	50
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	15	67	82	67
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	15	68	82	68
Thu Jun 06 14:44:04 2024	1717685044	26	57	82	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	83	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	83	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	83	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	83	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	83	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	83	57
Thu Jun 06 14:44:04 2024	1717685044	53	29	83	29
Thu Jun 06 14:44:04 2024	1717685044	53	29	83	29
Thu Jun 06 14:44:04 2024	1717685044	15	68	83	68
Thu Jun 06 14:44:04 2024	1717685044	53	29	83	29
Thu Jun 06 14:44:04 2024	1717685044	15	68	83	68
Thu Jun 06 14:44:04 2024	1717685044	53	29	83	29
Thu Jun 06 14:44:04 2024	1717685044	15	68	83	68
Thu Jun 06 14:44:04 2024	1717685044	26	57	83	57
Thu Jun 06 14:44:04 2024	1717685044	26	57	83	57
Thu Jun 06 14:44:04 2024	1717685044	15	68	83	68
Thu Jun 06 14:44:04 2024	1717685044	26	57	83	57
Thu Jun 06 14:44:04 2024	1717685044	15	68	83	68
Thu Jun 06 14:44:04 2024	1717685044	53	29	83	29
