starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	11	1	12	1
Thu Jun 06 14:50:52 2024	1717685452	10	2	12	2
Thu Jun 06 14:50:52 2024	1717685452	10	2	12	2
Thu Jun 06 14:50:52 2024	1717685452	10	2	12	2
Thu Jun 06 14:50:52 2024	1717685452	10	2	12	2
Thu Jun 06 14:50:52 2024	1717685452	10	2	12	2
Thu Jun 06 14:50:52 2024	1717685452	10	2	13	2
Thu Jun 06 14:50:52 2024	1717685452	10	2	13	2
Thu Jun 06 14:50:52 2024	1717685452	10	3	13	3
Thu Jun 06 14:50:52 2024	1717685452	10	3	13	3
Thu Jun 06 14:50:52 2024	1717685452	10	3	13	3
Thu Jun 06 14:50:52 2024	1717685452	10	3	14	3
Thu Jun 06 14:50:52 2024	1717685452	10	4	14	4
Thu Jun 06 14:50:52 2024	1717685452	10	4	14	4
Thu Jun 06 14:50:52 2024	1717685452	10	4	15	4
Thu Jun 06 14:50:52 2024	1717685452	10	5	15	5
Thu Jun 06 14:50:52 2024	1717685452	10	5	15	5
Thu Jun 06 14:50:52 2024	1717685452	10	5	15	5
Thu Jun 06 14:50:52 2024	1717685452	10	5	15	5
Thu Jun 06 14:50:52 2024	1717685452	10	5	16	5
Thu Jun 06 14:50:52 2024	1717685452	10	6	16	6
Thu Jun 06 14:50:52 2024	1717685452	10	6	16	6
Thu Jun 06 14:50:52 2024	1717685452	10	6	17	6
Thu Jun 06 14:50:52 2024	1717685452	10	6	17	6
Thu Jun 06 14:50:52 2024	1717685452	10	7	17	7
Thu Jun 06 14:50:52 2024	1717685452	10	7	17	7
Thu Jun 06 14:50:52 2024	1717685452	10	7	18	7
Thu Jun 06 14:50:52 2024	1717685452	10	7	18	7
Thu Jun 06 14:50:52 2024	1717685452	10	8	18	8
Thu Jun 06 14:50:52 2024	1717685452	10	8	18	8
Thu Jun 06 14:50:52 2024	1717685452	10	8	19	8
Thu Jun 06 14:50:52 2024	1717685452	10	8	19	8
Thu Jun 06 14:50:52 2024	1717685452	10	9	19	9
Thu Jun 06 14:50:52 2024	1717685452	10	9	19	9
Thu Jun 06 14:50:52 2024	1717685452	10	9	20	9
Thu Jun 06 14:50:52 2024	1717685452	10	10	20	10
Thu Jun 06 14:50:52 2024	1717685452	10	10	20	10
Thu Jun 06 14:50:52 2024	1717685452	10	10	21	10
Thu Jun 06 14:50:52 2024	1717685452	10	11	21	11
Thu Jun 06 14:50:52 2024	1717685452	10	11	21	11
Thu Jun 06 14:50:52 2024	1717685452	10	11	22	11
Thu Jun 06 14:50:52 2024	1717685452	10	12	22	12
Thu Jun 06 14:50:52 2024	1717685452	10	12	22	12
Thu Jun 06 14:50:52 2024	1717685452	10	13	23	13
Thu Jun 06 14:50:52 2024	1717685452	10	13	23	13
Thu Jun 06 14:50:52 2024	1717685452	10	13	24	13
Thu Jun 06 14:50:52 2024	1717685452	10	14	24	14
Thu Jun 06 14:50:52 2024	1717685452	10	14	24	14
Thu Jun 06 14:50:52 2024	1717685452	10	14	25	14
Thu Jun 06 14:50:52 2024	1717685452	10	15	25	15
Thu Jun 06 14:50:52 2024	1717685452	10	15	25	15
Thu Jun 06 14:50:52 2024	1717685452	10	15	26	15
Thu Jun 06 14:50:52 2024	1717685452	10	16	26	16
Thu Jun 06 14:50:52 2024	1717685452	10	16	26	16
Thu Jun 06 14:50:52 2024	1717685452	10	17	27	17
Thu Jun 06 14:50:52 2024	1717685452	10	17	27	17
