starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	1	11	1
Thu Jun 06 14:50:49 2024	1717685449	9	2	11	2
Thu Jun 06 14:50:49 2024	1717685449	9	2	11	2
Thu Jun 06 14:50:49 2024	1717685449	9	2	11	2
Thu Jun 06 14:50:49 2024	1717685449	9	2	12	2
Thu Jun 06 14:50:49 2024	1717685449	9	3	12	3
Thu Jun 06 14:50:49 2024	1717685449	9	3	12	3
Thu Jun 06 14:50:49 2024	1717685449	9	3	12	3
Thu Jun 06 14:50:49 2024	1717685449	9	3	13	3
Thu Jun 06 14:50:49 2024	1717685449	9	4	13	4
Thu Jun 06 14:50:49 2024	1717685449	9	4	13	4
Thu Jun 06 14:50:49 2024	1717685449	9	4	13	4
Thu Jun 06 14:50:49 2024	1717685449	9	4	14	4
Thu Jun 06 14:50:49 2024	1717685449	9	5	14	5
Thu Jun 06 14:50:49 2024	1717685449	9	5	14	5
Thu Jun 06 14:50:49 2024	1717685449	9	5	14	5
Thu Jun 06 14:50:49 2024	1717685449	9	5	15	5
Thu Jun 06 14:50:49 2024	1717685449	9	6	15	6
Thu Jun 06 14:50:49 2024	1717685449	9	6	15	6
Thu Jun 06 14:50:49 2024	1717685449	9	6	15	6
Thu Jun 06 14:50:49 2024	1717685449	9	7	16	7
Thu Jun 06 14:50:49 2024	1717685449	9	7	16	7
Thu Jun 06 14:50:49 2024	1717685449	9	7	16	7
Thu Jun 06 14:50:49 2024	1717685449	9	7	17	7
Thu Jun 06 14:50:49 2024	1717685449	9	8	17	8
Thu Jun 06 14:50:49 2024	1717685449	9	8	17	8
Thu Jun 06 14:50:49 2024	1717685449	9	8	17	8
Thu Jun 06 14:50:49 2024	1717685449	9	8	17	8
Thu Jun 06 14:50:49 2024	1717685449	9	8	18	8
Thu Jun 06 14:50:49 2024	1717685449	9	9	18	9
Thu Jun 06 14:50:49 2024	1717685449	9	9	18	9
Thu Jun 06 14:50:49 2024	1717685449	9	9	18	9
Thu Jun 06 14:50:49 2024	1717685449	9	10	19	10
Thu Jun 06 14:50:49 2024	1717685449	9	10	19	10
Thu Jun 06 14:50:49 2024	1717685449	9	10	19	10
Thu Jun 06 14:50:49 2024	1717685449	9	10	20	10
Thu Jun 06 14:50:49 2024	1717685449	9	11	20	11
Thu Jun 06 14:50:49 2024	1717685449	9	11	20	11
Thu Jun 06 14:50:49 2024	1717685449	9	11	20	11
Thu Jun 06 14:50:49 2024	1717685449	9	12	21	12
Thu Jun 06 14:50:49 2024	1717685449	9	12	21	12
Thu Jun 06 14:50:49 2024	1717685449	9	12	21	12
Thu Jun 06 14:50:49 2024	1717685449	9	13	22	13
Thu Jun 06 14:50:49 2024	1717685449	9	13	22	13
Thu Jun 06 14:50:49 2024	1717685449	9	14	23	13
Thu Jun 06 14:50:49 2024	1717685449	9	14	23	14
Thu Jun 06 14:50:49 2024	1717685449	9	14	23	14
Thu Jun 06 14:50:49 2024	1717685449	9	14	24	14
Thu Jun 06 14:50:49 2024	1717685449	9	15	24	15
Thu Jun 06 14:50:49 2024	1717685449	9	15	24	15
Thu Jun 06 14:50:49 2024	1717685449	9	16	25	16
Thu Jun 06 14:50:49 2024	1717685449	9	16	25	16
Thu Jun 06 14:50:49 2024	1717685449	9	16	25	16
Thu Jun 06 14:50:49 2024	1717685449	9	17	26	17
Thu Jun 06 14:50:49 2024	1717685449	9	17	26	17
Thu Jun 06 14:50:49 2024	1717685449	9	18	27	18
Thu Jun 06 14:50:49 2024	1717685449	9	18	27	18
Thu Jun 06 14:50:49 2024	1717685449	9	19	28	19
Thu Jun 06 14:50:49 2024	1717685449	9	19	28	19
Thu Jun 06 14:50:49 2024	1717685449	9	19	28	19
Thu Jun 06 14:50:49 2024	1717685449	9	20	29	20
Thu Jun 06 14:50:49 2024	1717685449	9	20	29	20
Thu Jun 06 14:50:49 2024	1717685449	9	21	30	21
Thu Jun 06 14:50:49 2024	1717685449	9	21	30	21
Thu Jun 06 14:50:49 2024	1717685449	9	22	31	22
Thu Jun 06 14:50:49 2024	1717685449	9	22	31	22
Thu Jun 06 14:50:49 2024	1717685449	9	22	31	22
Thu Jun 06 14:50:49 2024	1717685449	9	23	32	23
Thu Jun 06 14:50:49 2024	1717685449	9	23	32	23
Thu Jun 06 14:50:49 2024	1717685449	9	24	33	24
Thu Jun 06 14:50:49 2024	1717685449	9	24	33	24
Thu Jun 06 14:50:49 2024	1717685449	9	25	33	25
Thu Jun 06 14:50:49 2024	1717685449	9	25	34	25
Thu Jun 06 14:50:49 2024	1717685449	9	26	34	26
Thu Jun 06 14:50:49 2024	1717685449	9	26	35	26
Thu Jun 06 14:50:49 2024	1717685449	9	26	35	26
Thu Jun 06 14:50:49 2024	1717685449	9	27	36	27
Thu Jun 06 14:50:49 2024	1717685449	9	27	36	27
Thu Jun 06 14:50:49 2024	1717685449	9	28	37	28
Thu Jun 06 14:50:49 2024	1717685449	9	28	37	28
Thu Jun 06 14:50:49 2024	1717685449	9	29	38	29
Thu Jun 06 14:50:49 2024	1717685449	9	29	38	29
Thu Jun 06 14:50:49 2024	1717685449	9	30	38	30
Thu Jun 06 14:50:49 2024	1717685449	9	30	39	30
Thu Jun 06 14:50:49 2024	1717685449	9	31	40	31
Thu Jun 06 14:50:49 2024	1717685449	9	31	40	31
Thu Jun 06 14:50:49 2024	1717685449	9	32	40	32
Thu Jun 06 14:50:49 2024	1717685449	9	32	41	32
Thu Jun 06 14:50:49 2024	1717685449	9	32	41	32
Thu Jun 06 14:50:49 2024	1717685449	9	33	42	33
Thu Jun 06 14:50:49 2024	1717685449	9	34	42	34
Thu Jun 06 14:50:49 2024	1717685449	9	34	43	34
Thu Jun 06 14:50:49 2024	1717685449	9	34	43	34
Thu Jun 06 14:50:49 2024	1717685449	9	35	44	35
Thu Jun 06 14:50:49 2024	1717685449	9	35	44	35
Thu Jun 06 14:50:49 2024	1717685449	9	36	45	36
Thu Jun 06 14:50:49 2024	1717685449	9	36	45	36
Thu Jun 06 14:50:49 2024	1717685449	9	37	46	37
Thu Jun 06 14:50:49 2024	1717685449	9	38	46	38
Thu Jun 06 14:50:49 2024	1717685449	9	38	47	38
Thu Jun 06 14:50:49 2024	1717685449	9	39	47	39
